identity,name,parentId,type,class,parentRelation,context
SPRING:74,@RequestMapping,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:75,@RestController,SPRING:41,concept,concept,subconcept of,Annotations
SPRING:76,Level 0,SPRING:42,concept,concept,subconcept of,REST Levels
SPRING:77,Level 1,SPRING:42,concept,concept,subconcept of,REST Levels
SPRING:78,Level 2,SPRING:42,concept,concept,subconcept of,REST Levels
SPRING:79,Hateos,SPRING:42,concept,concept,subconcept of,REST Levels
SPRING:80,Initialization callbacks,SPRING:46,concept,concept,subconcept of,Lifecycle callbacks
SPRING:81,Destruction callbacks,SPRING:46,concept,concept,subconcept of,Lifecycle callbacks
SPRING:82,Setter based DI,SPRING:47,concept,concept,subconcept of,Types
SPRING:83,Property based DI,SPRING:47,concept,concept,subconcept of,Types
SPRING:84,Constructor based DI,SPRING:47,concept,concept,subconcept of,Types
SPRING:85,ApplicationEvent,SPRING:49,concept,concept,subconcept of,Events
SPRING:86,ApplicationListener,SPRING:49,concept,concept,subconcept of,Events
SPRING:87,@PatchMapping,SPRING:74,concept,concept,subconcept of,@RequestMapping
SPRING:88,@PutMapping,SPRING:74,concept,concept,subconcept of,@RequestMapping
SPRING:89,@GetMapping,SPRING:74,concept,concept,subconcept of,@RequestMapping
SPRING:90,@PostMapping,SPRING:74,concept,concept,subconcept of,@RequestMapping
SPRING:91,@DeleteMapping,SPRING:74,concept,concept,subconcept of,@RequestMapping
